abandon abandons abandoning abandoned
abet abets abetting abetted
abdicate abdicates abdicating abdicated
abduct abducts abducting abducted
abound abounds abounding abounded
absorb absorbs absorbing absorbed
accept accepts accepting accepted
accompany accompanies accompanying accompanied
accomplish accomplishes accomplishing accomplished
account accounts accounting accounted
accuse accuses accusing accused
ache aches aching ached
achieve achieves achieving achieved
acknowledge acknowledges acknowledging acknowledged
acquire acquires acquiring acquired
abstract abstracts abstracting abstracted
add adds adding added
address addresses addressing addressed
adjoin adjoins adjoining adjoined
adjourn adjourns adjourning adjourned
adjust adjusts adjusting adjusted
admire admires admiring admired
admit admits admitting admitted
admonish admonishes admonishing admonished
adopt adopts adopting adopted
advance advances advancing advanced
advertise advertises advertising advertised
advise advises advising advised
advocate advocates advocating advocated
affect affects affecting affected
affirm affirms affirming affirmed
afford affords affording afforded
agree agrees agreeing agreed
aid aids aiding aided
acclaim acclaims acclaiming acclaimed
allege alleges alleging alleged
allocate allocates allocating allocated
allot allots allotting allotted
allow allows allowing allowed
alter alters altering altered
amend amends amending amended
amount amounts amounting amounted
amuse amuses amusing amused
announce announces announcing announced
answer answers answering answered
anticipate anticipates anticipating anticipated
apologize apologizes apologizing apologized
appeal appeals appealing appealed
appear appears appearing appeared
apply applies applying applied
appoint appoints appointing appointed
appreciate appreciates appreciating appreciated
approach approaches approaching approached
approve approves approving approved
approximate approximates approximating approximated
arch arches arching arched
argue argues arguing argued
arouse arouses arousing aroused
arraign arraigns arraigning arraigned
arrange arranges arranging arranged
arrest arrests arresting arrested
arrive arrives arriving arrived
ascend ascends ascending ascended
ask asks asking asked
assault assaults assaulting assaulted
assemble assembles assembling assembled
assent assents assenting assented
assert asserts asserting asserted
assign assigns assigning assigned
assist assists assisting assisted
associate associates associating associated
assume assumes assuming assumed
assure assures assuring assured
attach attaches attaching attached
attack attacks attacking attacked
attain attains attaining attained
attempt attempts attempting attempted
attend attends attending attended
attest attests attesting attested
attract attracts attracting attracted
attribute attributes attributing attributed
augment augments augmenting augmented
authorize authorizes authorizing authorized
avail avails availing availed
average averages averaging averaged
avert averts averting averted
avoid avoids avoiding avoided
await awaits awaiting awaited
award awards awarding awarded
babble babbles babbling babbled
